slug,timestamp,open,high,low,close,volume,quote_volume
btc-updown-15m-1767665700,1767666668,93674.0,93674.01,93674.0,93674.0,0.07396,6928.1294285
btc-updown-15m-1767665700,1767666669,93674.0,93674.01,93674.0,93674.0,0.08644,8097.1805741
btc-updown-15m-1767665700,1767666670,93674.0,93674.01,93674.0,93674.01,0.00296,277.2750434
btc-updown-15m-1767665700,1767666671,93674.0,93674.0,93664.75,93664.75,0.44873,42031.1993004
btc-updown-15m-1767665700,1767666672,93664.75,93664.76,93662.09,93662.09,0.09976,9343.8372639
btc-updown-15m-1767665700,1767666673,93662.09,93662.1,93662.09,93662.1,0.02334,2186.0733738
btc-updown-15m-1767665700,1767666674,93662.09,93662.1,93662.09,93662.1,0.00555,519.8246049
btc-updown-15m-1767665700,1767666675,93662.1,93662.1,93662.1,93662.1,0.06531,6117.071751
btc-updown-15m-1767665700,1767666676,93662.09,93662.09,93662.09,93662.09,0.03321,3110.5180089
btc-updown-15m-1767665700,1767666677,93662.09,93662.09,93662.09,93662.09,0.01062,994.6913958
btc-updown-15m-1767665700,1767666678,93662.09,93662.09,93658.0,93658.0,0.34912,32698.9987771
btc-updown-15m-1767665700,1767666679,93658.01,93658.01,93658.0,93658.01,0.03592,3364.1957016
btc-updown-15m-1767665700,1767666680,93658.0,93658.01,93658.0,93658.01,0.02336,2187.850881
btc-updown-15m-1767665700,1767666681,93658.0,93658.0,93658.0,93658.0,0.00875,819.5075
btc-updown-15m-1767665700,1767666682,93658.0,93658.01,93658.0,93658.0,0.00977,915.0386988
btc-updown-15m-1767665700,1767666683,93658.0,93658.0,93658.0,93658.0,0.00203,190.12574
btc-updown-15m-1767665700,1767666684,93658.0,93658.0,93654.54,93654.54,0.21175,19831.563093
btc-updown-15m-1767665700,1767666685,93654.54,93654.54,93653.0,93653.0,0.22082,20680.4892597
btc-updown-15m-1767665700,1767666686,93653.01,93653.01,93639.28,93639.29,2.71862,254598.4035706
btc-updown-15m-1767665700,1767666687,93639.28,93639.29,93639.28,93639.29,0.0097,908.3010262
btc-updown-15m-1767665700,1767666688,93639.28,93639.28,93639.28,93639.28,0.10398,9736.6123344
btc-updown-15m-1767665700,1767666689,93639.28,93639.29,93639.28,93639.29,0.00489,457.8960815
btc-updown-15m-1767665700,1767666690,93639.28,93639.28,93639.28,93639.28,0.00213,199.4516664
btc-updown-15m-1767665700,1767666691,93639.28,93639.29,93639.28,93639.28,0.00803,751.923436
btc-updown-15m-1767665700,1767666692,93639.28,93639.29,93639.28,93639.29,0.00234,219.1159178
btc-updown-15m-1767665700,1767666693,93639.28,93639.28,93639.28,93639.28,0.23489,21994.9304792
btc-updown-15m-1767665700,1767666694,93639.28,93639.29,93639.28,93639.28,0.01983,1856.8669295
btc-updown-15m-1767665700,1767666695,93639.28,93639.28,93639.28,93639.28,0.0027,252.826056
btc-updown-15m-1767665700,1767666696,93639.28,93639.29,93639.28,93639.29,0.01875,1755.7365822
btc-updown-15m-1767665700,1767666697,93639.28,93639.28,93639.28,93639.28,0.00475,444.78658
btc-updown-15m-1767665700,1767666698,93639.28,93639.29,93639.28,93639.28,0.00833,780.0152258
